Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,League,target,G/PG,GC/PG,xG/PG,xGA/PG,Top_Team_Scorer
7,Blackburn,46,20,9,17,52,54,-2,69,1.5,46.7,53.3,-6.7,-0.14,Championship,1,1.13,1.17,1.02,1.16,14
8,Millwall,46,19,11,16,57,50,7,68,1.48,56.8,48.3,8.4,0.18,Championship,1,1.24,1.09,1.23,1.05,17
9,West Brom,46,18,12,16,59,53,6,66,1.43,65.6,48.4,17.2,0.37,Championship,1,1.28,1.15,1.43,1.05,7
10,Swansea City,46,18,12,16,68,64,4,66,1.43,61.3,51.6,9.7,0.21,Championship,1,1.48,1.39,1.33,1.12,19
11,Watford,46,16,15,15,56,53,3,63,1.37,56.6,50.6,6.0,0.13,Championship,1,1.22,1.15,1.23,1.1,11
12,Preston,46,17,12,17,45,59,-14,63,1.37,47.6,56.2,-8.6,-0.19,Championship,1,0.98,1.28,1.03,1.22,9
13,Norwich City,46,17,11,18,57,54,3,62,1.35,58.1,54.4,3.7,0.08,Championship,1,1.24,1.17,1.26,1.18,13
14,Bristol City,46,15,14,17,55,56,-1,59,1.28,57.4,56.1,1.4,0.03,Championship,1,1.2,1.22,1.25,1.22,11
15,Hull City,46,14,16,16,51,61,-10,58,1.26,46.8,61.2,-14.4,-0.31,Championship,1,1.11,1.33,1.02,1.33,13
16,Stoke City,46,14,11,21,55,54,1,53,1.15,57.6,49.9,7.7,0.17,Championship,1,1.2,1.17,1.25,1.08,9
17,Birmingham City,46,14,11,21,47,58,-11,53,1.15,50.6,60.6,-9.9,-0.22,Championship,1,1.02,1.26,1.1,1.32,10
18,Huddersfield,46,14,11,21,47,62,-15,53,1.15,42.7,61.4,-18.7,-0.41,Championship,1,1.02,1.35,0.93,1.33,5
19,Rotherham Utd,46,11,17,18,49,60,-11,50,1.09,42.1,70.7,-28.7,-0.62,Championship,1,1.07,1.3,0.92,1.54,8
20,QPR,46,13,11,22,44,71,-27,50,1.09,50.3,62.4,-12.0,-0.26,Championship,1,0.96,1.54,1.09,1.36,8
21,Cardiff City,46,13,10,23,41,58,-17,49,1.07,47.4,56.3,-9.0,-0.2,Championship,1,0.89,1.26,1.03,1.22,8
22,Reading,46,13,11,22,46,68,-22,50,1.09,41.8,59.9,-18.1,-0.39,Championship,1,1.0,1.48,0.91,1.3,9
23,Blackpool,46,11,11,24,48,72,-24,44,0.96,47.8,71.7,-23.9,-0.52,Championship,1,1.04,1.57,1.04,1.56,14
24,Wigan Athletic,46,10,15,21,38,65,-27,45,0.98,45.1,57.5,-12.4,-0.27,Championship,1,0.83,1.41,0.98,1.25,12
1,Burnley,46,29,14,3,87,35,52,101,2.2,66.2,38.2,28.0,0.61,Championship,0,1.89,0.76,1.44,0.83,17
2,Sheffield Utd,46,28,7,11,73,39,34,91,1.98,71.8,44.3,27.4,0.6,Championship,0,1.59,0.85,1.56,0.96,14
3,Luton Town,46,21,17,8,57,39,18,80,1.74,58.2,43.8,14.4,0.31,Championship,0,1.24,0.85,1.27,0.95,20
4,Middlesbrough,46,22,9,15,84,56,28,75,1.63,72.6,48.3,24.3,0.53,Championship,0,1.83,1.22,1.58,1.05,28
5,Coventry City,46,18,16,12,58,46,12,70,1.52,62.9,54.7,8.2,0.18,Championship,1,1.26,1.0,1.37,1.19,21
6,Sunderland,46,18,15,13,68,55,13,69,1.5,58.3,52.3,6.0,0.13,Championship,1,1.48,1.2,1.27,1.14,13
7,Blackburn,46,20,9,17,52,54,-2,69,1.5,46.7,53.3,-6.7,-0.14,Championship,1,1.13,1.17,1.02,1.16,14
8,Millwall,46,19,11,16,57,50,7,68,1.48,56.8,48.3,8.4,0.18,Championship,1,1.24,1.09,1.23,1.05,17
9,West Brom,46,18,12,16,59,53,6,66,1.43,65.6,48.4,17.2,0.37,Championship,1,1.28,1.15,1.43,1.05,7
10,Swansea City,46,18,12,16,68,64,4,66,1.43,61.3,51.6,9.7,0.21,Championship,1,1.48,1.39,1.33,1.12,19
11,Watford,46,16,15,15,56,53,3,63,1.37,56.6,50.6,6.0,0.13,Championship,1,1.22,1.15,1.23,1.1,11
12,Preston,46,17,12,17,45,59,-14,63,1.37,47.6,56.2,-8.6,-0.19,Championship,1,0.98,1.28,1.03,1.22,9
13,Norwich City,46,17,11,18,57,54,3,62,1.35,58.1,54.4,3.7,0.08,Championship,1,1.24,1.17,1.26,1.18,13
14,Bristol City,46,15,14,17,55,56,-1,59,1.28,57.4,56.1,1.4,0.03,Championship,1,1.2,1.22,1.25,1.22,11
15,Hull City,46,14,16,16,51,61,-10,58,1.26,46.8,61.2,-14.4,-0.31,Championship,1,1.11,1.33,1.02,1.33,13
16,Stoke City,46,14,11,21,55,54,1,53,1.15,57.6,49.9,7.7,0.17,Championship,1,1.2,1.17,1.25,1.08,9
17,Birmingham City,46,14,11,21,47,58,-11,53,1.15,50.6,60.6,-9.9,-0.22,Championship,1,1.02,1.26,1.1,1.32,10
18,Huddersfield,46,14,11,21,47,62,-15,53,1.15,42.7,61.4,-18.7,-0.41,Championship,1,1.02,1.35,0.93,1.33,5
19,Rotherham Utd,46,11,17,18,49,60,-11,50,1.09,42.1,70.7,-28.7,-0.62,Championship,1,1.07,1.3,0.92,1.54,8
20,QPR,46,13,11,22,44,71,-27,50,1.09,50.3,62.4,-12.0,-0.26,Championship,1,0.96,1.54,1.09,1.36,8
21,Cardiff City,46,13,10,23,41,58,-17,49,1.07,47.4,56.3,-9.0,-0.2,Championship,1,0.89,1.26,1.03,1.22,8
22,Reading,46,13,11,22,46,68,-22,50,1.09,41.8,59.9,-18.1,-0.39,Championship,1,1.0,1.48,0.91,1.3,9
23,Blackpool,46,11,11,24,48,72,-24,44,0.96,47.8,71.7,-23.9,-0.52,Championship,1,1.04,1.57,1.04,1.56,14
24,Wigan Athletic,46,10,15,21,38,65,-27,45,0.98,45.1,57.5,-12.4,-0.27,Championship,1,0.83,1.41,0.98,1.25,12
1,Burnley,46,29,14,3,87,35,52,101,2.2,66.2,38.2,28.0,0.61,Championship,0,1.89,0.76,1.44,0.83,17
2,Sheffield Utd,46,28,7,11,73,39,34,91,1.98,71.8,44.3,27.4,0.6,Championship,0,1.59,0.85,1.56,0.96,14
3,Luton Town,46,21,17,8,57,39,18,80,1.74,58.2,43.8,14.4,0.31,Championship,0,1.24,0.85,1.27,0.95,20
4,Middlesbrough,46,22,9,15,84,56,28,75,1.63,72.6,48.3,24.3,0.53,Championship,0,1.83,1.22,1.58,1.05,28
5,Coventry City,46,18,16,12,58,46,12,70,1.52,62.9,54.7,8.2,0.18,Championship,1,1.26,1.0,1.37,1.19,21
6,Sunderland,46,18,15,13,68,55,13,69,1.5,58.3,52.3,6.0,0.13,Championship,1,1.48,1.2,1.27,1.14,13
7,Blackburn,46,20,9,17,52,54,-2,69,1.5,46.7,53.3,-6.7,-0.14,Championship,1,1.13,1.17,1.02,1.16,14
8,Millwall,46,19,11,16,57,50,7,68,1.48,56.8,48.3,8.4,0.18,Championship,1,1.24,1.09,1.23,1.05,17
9,West Brom,46,18,12,16,59,53,6,66,1.43,65.6,48.4,17.2,0.37,Championship,1,1.28,1.15,1.43,1.05,7
10,Swansea City,46,18,12,16,68,64,4,66,1.43,61.3,51.6,9.7,0.21,Championship,1,1.48,1.39,1.33,1.12,19
11,Watford,46,16,15,15,56,53,3,63,1.37,56.6,50.6,6.0,0.13,Championship,1,1.22,1.15,1.23,1.1,11
12,Preston,46,17,12,17,45,59,-14,63,1.37,47.6,56.2,-8.6,-0.19,Championship,1,0.98,1.28,1.03,1.22,9
13,Norwich City,46,17,11,18,57,54,3,62,1.35,58.1,54.4,3.7,0.08,Championship,1,1.24,1.17,1.26,1.18,13
14,Bristol City,46,15,14,17,55,56,-1,59,1.28,57.4,56.1,1.4,0.03,Championship,1,1.2,1.22,1.25,1.22,11
15,Hull City,46,14,16,16,51,61,-10,58,1.26,46.8,61.2,-14.4,-0.31,Championship,1,1.11,1.33,1.02,1.33,13
16,Stoke City,46,14,11,21,55,54,1,53,1.15,57.6,49.9,7.7,0.17,Championship,1,1.2,1.17,1.25,1.08,9
17,Birmingham City,46,14,11,21,47,58,-11,53,1.15,50.6,60.6,-9.9,-0.22,Championship,1,1.02,1.26,1.1,1.32,10
18,Huddersfield,46,14,11,21,47,62,-15,53,1.15,42.7,61.4,-18.7,-0.41,Championship,1,1.02,1.35,0.93,1.33,5
19,Rotherham Utd,46,11,17,18,49,60,-11,50,1.09,42.1,70.7,-28.7,-0.62,Championship,1,1.07,1.3,0.92,1.54,8
20,QPR,46,13,11,22,44,71,-27,50,1.09,50.3,62.4,-12.0,-0.26,Championship,1,0.96,1.54,1.09,1.36,8
21,Cardiff City,46,13,10,23,41,58,-17,49,1.07,47.4,56.3,-9.0,-0.2,Championship,1,0.89,1.26,1.03,1.22,8
22,Reading,46,13,11,22,46,68,-22,50,1.09,41.8,59.9,-18.1,-0.39,Championship,1,1.0,1.48,0.91,1.3,9
23,Blackpool,46,11,11,24,48,72,-24,44,0.96,47.8,71.7,-23.9,-0.52,Championship,1,1.04,1.57,1.04,1.56,14
24,Wigan Athletic,46,10,15,21,38,65,-27,45,0.98,45.1,57.5,-12.4,-0.27,Championship,1,0.83,1.41,0.98,1.25,12
1,Burnley,46,29,14,3,87,35,52,101,2.2,66.2,38.2,28.0,0.61,Championship,0,1.89,0.76,1.44,0.83,17
2,Sheffield Utd,46,28,7,11,73,39,34,91,1.98,71.8,44.3,27.4,0.6,Championship,0,1.59,0.85,1.56,0.96,14
3,Luton Town,46,21,17,8,57,39,18,80,1.74,58.2,43.8,14.4,0.31,Championship,0,1.24,0.85,1.27,0.95,20
4,Middlesbrough,46,22,9,15,84,56,28,75,1.63,72.6,48.3,24.3,0.53,Championship,0,1.83,1.22,1.58,1.05,28
5,Coventry City,46,18,16,12,58,46,12,70,1.52,62.9,54.7,8.2,0.18,Championship,1,1.26,1.0,1.37,1.19,21
6,Sunderland,46,18,15,13,68,55,13,69,1.5,58.3,52.3,6.0,0.13,Championship,1,1.48,1.2,1.27,1.14,13
